what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.core",1249099067631
started,bundle,org.eclipse.mylyn.context.ui,3.2.1.v20090722-0200-e3x,"org.eclipse.mylyn.context.ui",1249099067631
started,bundle,ch.epfl.lamp.sdt.core,2.7.5.final,"ch.epfl.lamp.sdt.core",1249099067631
started,bundle,org.eclipse.contribution.weaving.jdt,1.6.4.20090313172428,"org.eclipse.contribution.weaving.jdt",1249099067631
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.0.200902241436,"org.eclipse.equinox.weaving.aspectj",1249099067631
started,bundle,scala.library,2.7.5.final,"scala.library",1249099067631
os,sysinfo,,,"macosx",1249099067634
arch,sysinfo,,,"x86",1249099067634
ws,sysinfo,,,"cocoa",1249099067634
locale,sysinfo,,,"en_US",1249099067634
processors,sysinfo,,,"2",1249099067634
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1249099067634
java.runtime.version,sysinfo,,,"1.5.0_19-b02-304",1249099067634
java.specification.name,sysinfo,,,"Java Platform API Specification",1249099067634
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1249099067634
java.specification.version,sysinfo,,,"1.5",1249099067634
java.vendor,sysinfo,,,"Apple Inc.",1249099067634
java.version,sysinfo,,,"1.5.0_19",1249099067634
java.vm.info,sysinfo,,,"mixed mode",1249099067634
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1249099067634
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1249099067634
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1249099067634
java.vm.specification.version,sysinfo,,,"1.0",1249099067634
java.vm.vendor,sysinfo,,,"Apple Inc.",1249099067634
java.vm.version,sysinfo,,,"1.5.0_19-137",1249099067634
